1,9.4,57
2,7.4,94
3,7.7,59
4,7.4,83
5,2.9,82
6,1.1,91
7,7.3,42
8,9.0,84
9,8.1,85
10,7.2,18
11,7.5,94
12,4.2,18
13,4.4,31
14,5.7,27
15,2.0,31
16,2.0,42
17,9.9,58
18,9.5,57
19,5.2,55
20,7.1,97
21,6.8,79
22,1.6,10
23,7.9,34
24,3.0,100
25,1.6,98
26,9.0,45
27,2.1,19
28,4.9,77
29,7.0,56
30,6.8,25
31,7.7,60
32,2.1,22
33,8.4,84
34,1.9,89
35,6.5,12
36,3.8,46
37,2.5,20
38,4.3,85
39,9.9,42
40,8.5,94
41,8.0,20
42,1.0,65
43,4.4,27
44,2.6,34
45,2.1,27
46,7.4,91
47,1.5,17
48,2.2,56
49,8.1,23
50,7.9,89
51,1.5,18
52,3.5,11
53,2.4,91
54,1.6,79
55,4.3,14
56,7.5,99
57,2.5,45
58,7.6,73
59,4.8,81
60,6.5,96
61,1.5,51
62,2.3,96
63,1.0,63
64,8.1,40
65,8.1,93
66,6.7,87
67,5.8,71
68,7.7,54
69,4.9,74
70,1.6,15
71,6.5,32
72,7.4,57
73,1.4,70
74,4.1,62
75,7.4,12
76,7.4,71
77,1.7,57
78,1.2,97
79,9.5,48
80,1.9,33
81,7.5,42
82,6.1,25
83,5.9,59
84,3.7,91
85,7.5,17
86,9.0,63
87,1.7,81
88,7.9,49
89,1.5,60
90,7.8,90
91,7.6,87
92,9.3,25
93,9.8,15
94,8.0,20
95,3.3,76
96,3.9,76
97,9.6,53
98,7.1,59
99,3.9,40
100,3.9,59
